1207,1207
1431,344
1365,977
1295,1252
1313,1351
1389,1331
1450,1309
1266,1431
1252,1365
1351,1389
1299,1450
1304,922
832,1337
905,1380
977,1122
1380,1160
561,509
1051,1394
922,766
1337,566
1385,1287
1122,169
1160,283
1002,896
509,217
1200,448
1413,485
766,1
1394,724
867,66
985,1089
1260,849
1287,1232
1331,989
169,605
888,1395
283,1409
896,1329
448,1455
217,1446
1089,1436
485,557
1184,929
268,1189
771,917
961,1408
136,1417
1078,1422
500,383
884,387
349,1347
1189,890
242,791
389,1268
387,1324
350,1281
599,1323
645,728
594,1103
205,1317
1108,1009
1436,171
1309,1154
657,9
709,67
557,204
929,168
344,231
1455,836
1446,172
1408,500
917,884
696,1002
1417,706
415,705
383,350
520,599
819,645
345,205
459,20
20,122
58,1005
686,455
859,146
1281,392
1323,167
728,1370
942,1030
1103,1356
1009,1329
976,696
1317,520
258,876
171,1290
67,206
231,141
836,160
1232,1460
326,242
263,1222
172,1227
507,1313
633,1502
204,
168,
1441,1051
1047,999
232,1185
844,1475
155,498
225,151
682,
1470,268
1480,237
1221,
1464,202
1475,219
1460,49
1046,2
1029,19
1005,61
455,328
392,796
860,824
53,
121,
746,
70,
198,
1143,
1491,
1356,
1030,
1370,
167,
88,
1342,
1290,
876,
237,
206,
21,
83,
141,
160,
234,
203,
938,
700,
617,
559,
965,
1002,
104,
872,
226,
669,
637,
530,
783,
404,
653,
538,
1038,
100,
101,
112,
107,
671,
257,
993,
235,
501,
111,
897,
1512,
230,
105,
106,
116,
117,
697,
26,
27,
414,
941,
1346,
852,
189,
1502,
1399,
566,
1170,
724,
747,
66,
28,
35,
142,
151,
605,
628,
989,
1018,
2,
19,
61,
328,
796,
824,
1507,
704,
278,
374,
34,
342,
744,
287,
441,
98,
450,
150,
219,
347,
692,
